hhsize,able,rec_attended_school,rec_age,dist_food_market,imp_dich,future1yr,asst_idx,lvstk_idx,prod_idx,any_savings,qsn,HF1,HF2,HF3
7,2,,36,,Willing to wait at least once,0,.14779887,0,.19590285,0,705,0,0,0
9,2,,57,,Willing to wait at least once,1,.56528246,.7641232,.71846193,0,706,0,0,0
9,1,,34,,Willing to wait at least once,0,.14779887,0,.19590285,1,710,0,0,0
11,2,,46,,Willing to wait at least once,1,.66071069,0,.35964283,0,711,0,0,0
3,1,1,24,,Willing to wait at least once,0,.52900833,0,.48147386,0,714,0,0,0
8,2,,29,,Never willing to wait,1,.79866618,1.0649868,.80509818,0,715,0,0,0
5,2,,26,,Willing to wait at least once,1,.84931099,0,.60697192,0,716,1,1,1
8,3,,26,,Willing to wait at least once,0,1.0256443,.93014222,1.2592831,0,718,0,0,0
6,2,,34,,Never willing to wait,0,.52900833,0,1.3999935,1,721,0,0,0
4,2,,49,,Willing to wait at least once,1,.45559675,0,.91724521,0,724,0,0,0
9,3,,45,,,,.40377998,.24270061,1.2112092,,725,0,0,1
5,2,,28,,Willing to wait at least once,1,.076627567,0,.60697192,1,726,0,0,1
6,2,,27,,Never willing to wait,1,.2913214,0,.48147386,1,727,1,0,1
10,3,,44,,Willing to wait at least once,1,1.0832717,1.1305549,1.233675,0,728,0,0,0
6,3,,27,,Willing to wait at least once,1,.2913214,0,.35964283,0,757,0,0,0
8,1,,35,,Willing to wait at least once,1,.66187716,.56800365,.71846193,1,758,0,0,0
9,2,,37,,Never willing to wait,1,.61870807,0,.71846193,1,759,0,0,0
2,0,,70,,Willing to wait at least once,0,.14779887,0,0,0,761,0,0,1
1,1,,36,,Willing to wait at least once,0,.14779887,0,.83069164,0,762,0,1,0
6,2,,47,,Never willing to wait,1,.54125804,.33774942,1.0599209,1,763,0,0,0
8,2,,31,,Never willing to wait,1,.77486056,0,.71846193,0,764,0,0,0
10,4,,44,,Willing to wait at least once,1,.81089884,0,1.0001892,1,765,0,0,0
6,2,,29,,Willing to wait at least once,1,1.1740304,0,.72734076,1,767,0,0,0
7,2,,37,,Willing to wait at least once,1,.5630551,0,.71846193,1,768,0,0,0
3,1,,26,,Willing to wait at least once,1,.37817082,0,.19590285,1,769,0,1,0
3,1,,32,,Willing to wait at least once,1,.37817082,.67513299,.71846193,1,770,1,1,0
6,2,,30,,Willing to wait at least once,0,.52900833,0,1.6962229,0,771,0,0,0
4,1,,26,,Never willing to wait,1,.14779887,0,.35964283,0,772,0,0,0
2,1,,34,,Willing to wait at least once,1,.45559675,0,.81875926,0,773,1,0,1
2,1,,44,,Never willing to wait,0,.2913214,0,.80509818,0,775,0,0,0
5,2,,27,,Willing to wait at least once,1,.40377998,0,.71846193,1,776,0,0,0
10,4,,43,,Willing to wait at least once,1,1.7607706,0,.71846193,0,777,0,0,0
7,2,,41,,Willing to wait at least once,1,.54125804,.84942245,.71846193,1,779,0,0,0
6,2,,42,,Never willing to wait,1,.89477354,0,1.0001892,1,780,0,0,0
9,3,,49,,Willing to wait at least once,1,1.3263458,1.0466979,1.0180739,1,781,1,0,1
6,2,,36,,Willing to wait at least once,0,.73103076,.077292271,.60697192,0,782,0,0,0
4,1,,49,,Never willing to wait,1,.80433834,.49644032,.81875926,1,783,0,0,0
9,4,,41,,Willing to wait at least once,1,1.9899379,0,1.4156522,0,812,0,0,0
7,3,,37,,Willing to wait at least once,1,1.1005002,.49644032,.93744284,1,813,0,0,0
9,3,,32,,Never willing to wait,0,.97486919,0,1.4802194,0,814,0,0,1
7,3,,39,,Willing to wait at least once,1,.27653977,0,.48147386,1,815,0,0,0
6,2,,35,,Willing to wait at least once,1,1.5774258,0,.71846193,1,817,1,1,1
4,2,,36,,Never willing to wait,1,.69193691,0,1.3188994,0,818,0,0,0
6,2,,65,,Willing to wait at least once,1,1.6105736,0,1.4871975,1,821,1,1,0
11,3,,45,,Never willing to wait,1,1.1263195,0,.76611608,0,822,0,0,0
6,1,,27,,Willing to wait at least once,1,.52900833,0,.35964283,1,823,0,0,0
5,2,,40,,Willing to wait at least once,1,.92680389,0,1.2373011,1,824,0,0,0
6,1,,41,,Willing to wait at least once,1,.66071069,0,1.0101515,0,825,0,0,0
5,1,,35,,Never willing to wait,1,1.3904818,.27871555,.71846193,1,826,0,1,0
8,2,,37,,Willing to wait at least once,1,.40377998,0,.60697192,0,827,0,0,0
8,2,,32,,Willing to wait at least once,0,.78445315,0,.80509818,0,828,0,0,1
6,2,,55,,Willing to wait at least once,0,.86715662,0,1.0836654,0,830,0,0,1
7,2,,36,,Willing to wait at least once,0,.37817082,.077292271,.35964283,1,831,0,0,0
12,7,1,22,,Willing to wait at least once,0,.43129668,0,0,0,832,0,0,0
9,3,,47,,Willing to wait at least once,1,1.3253136,0,1.3342884,1,833,0,0,0
9,2,,59,,Never willing to wait,1,.86168319,.32379958,.48147386,0,834,0,0,0
6,2,,32,,Willing to wait at least once,1,.70235449,0,1.4584895,1,836,0,0,1
10,1,,34,,Willing to wait at least once,1,1.0176731,0,.81875926,1,839,0,0,1
5,2,,35,,Never willing to wait,1,1.5492978,1.0466979,1.1309961,0,925,1,1,1
6,2,,27,,Never willing to wait,1,1.8747791,1.3402662,1.4964679,0,926,0,0,0
7,2,,37,,Willing to wait at least once,0,0,.27871555,1.132527,0,927,0,1,0
7,2,,41,,Willing to wait at least once,0,.98785633,.95826024,.98197877,0,928,0,0,1
3,1,,54,,Willing to wait at least once,1,.96272516,.7641232,.60697192,0,929,0,0,0
9,2,,35,,Willing to wait at least once,1,.37101221,.21597672,.71846193,0,931,0,0,0
6,2,,51,,Willing to wait at least once,1,.79202467,.90237492,1.8110776,0,933,0,0,0
10,4,,42,,Willing to wait at least once,1,1.2335687,1.3071849,1.2811865,0,934,0,0,1
5,0,,59,,Willing to wait at least once,0,0,0,.35964283,0,935,0,0,0
4,2,,43,,Never willing to wait,1,1.1665653,1.3268098,1.0662395,0,936,0,1,0
5,2,,33,,Never willing to wait,1,.4399831,1.0544565,.60697192,0,937,0,0,0
6,1,,41,,Willing to wait at least once,1,.95775187,.99405283,1.1969818,1,939,1,0,1
4,1,,28,,Willing to wait at least once,1,.50800163,.79089421,.60697192,0,941,0,0,0
8,2,,40,,Willing to wait at least once,1,1.5838752,0,.7676037,1,942,0,1,0
10,3,,45,,Never willing to wait,1,.31449023,0,.71846193,0,943,0,0,0
7,2,,32,,Willing to wait at least once,1,1.9093988,0,.19590285,0,944,1,1,1
6,2,,42,,Willing to wait at least once,0,0,0,.81875926,0,945,0,0,1
4,2,,49,,,,0,.33774942,.60697192,,946,0,0,0
4,2,,31,,Never willing to wait,1,.79494846,.63336337,.92646497,0,947,0,1,0
3,1,,27,,Willing to wait at least once,0,0,0,.35964283,0,948,0,1,0
5,2,,31,,Willing to wait at least once,1,.50800163,.25077447,.62646616,1,949,0,0,0
7,3,,45,,Willing to wait at least once,0,.4572643,.39349177,1.2452585,1,952,0,0,0
9,3,,36,,Willing to wait at least once,1,2.1823158,0,1.1815878,1,1009,1,0,1
4,2,,28,,Willing to wait at least once,1,.56528246,0,.50030637,0,1010,0,1,0
4,2,,39,,Willing to wait at least once,1,.6088419,0,0,1,1011,0,1,0
3,0,,65,,Willing to wait at least once,1,.95294529,.5897727,.71846193,1,1012,0,1,0
5,0,,59,,Never willing to wait,1,1.0071926,0,.70334864,0,1013,0,0,0
7,4,,54,,Never willing to wait,1,.95599729,0,.48147386,0,1017,0,0,0
5,2,,36,,Willing to wait at least once,1,1.1665653,.56534439,1.4369889,1,1018,0,0,0
5,2,,25,,Never willing to wait,1,.076627567,0,.48147386,0,1019,0,0,0
8,2,,34,,Willing to wait at least once,0,.36373544,.077292271,.60697192,0,1020,0,0,0
4,1,,31,,Willing to wait at least once,1,.54125804,0,.19590285,0,1022,0,0,0
3,2,,37,,Willing to wait at least once,0,.14779887,0,1.1767664,0,1025,1,0,1
6,1,,44,,Willing to wait at least once,1,1.2506517,.79089421,1.0815412,1,1028,0,0,0
5,2,,31,,Willing to wait at least once,1,2.0786047,.89463437,1.2452954,1,1030,1,1,0
5,2,,29,,Never willing to wait,1,.31449023,0,.35964283,0,1032,0,0,0
